user_id,anime_id,rating,watch_status,episodes_watched
1001,41,8,completed,12
1001,1500,9,completed,26
1001,649,5,completed,26
1001,1539,6,completed,100
1001,154,5,completed,50
1001,2312,6,completed,100
1001,1642,4,completed,24
1001,2187,8,completed,100
1001,2028,7,completed,26
1001,1102,7,completed,24
1001,1193,8,completed,50
1001,388,6,completed,26
1001,527,6,completed,26
1001,791,5,completed,12
1001,1416,5,completed,100
1001,2413,6,completed,24
1001,2396,6,completed,12
1001,2247,7,completed,12
1001,2423,8,completed,50
1001,1787,7,completed,26
1001,718,8,completed,24
1001,1311,10,completed,50
1001,2309,6,completed,26
1001,1636,6,completed,24
1001,2454,8,completed,26
1001,625,8,completed,12
1001,1644,7,completed,100
1001,1018,9,completed,12
1001,1293,8,completed,26
1001,1774,5,completed,100
1002,1823,5,completed,24
1002,305,8,completed,12
1002,2297,8,completed,26
1002,2202,6,completed,12
1002,1125,3,completed,12
1002,185,5,completed,24
1002,2285,10,completed,26
1002,2472,8,completed,50
1002,1037,7,completed,100
1002,1017,5,completed,12
1002,1842,6,completed,24
1002,1246,7,completed,50
1002,2278,5,completed,100
1002,498,6,completed,24
1002,565,8,completed,12
1002,1655,7,completed,26
1002,2120,8,completed,50
1002,459,8,completed,26
1002,2006,7,completed,24
1002,2473,7,completed,26
1002,1031,7,completed,100
1002,40,5,completed,24
1002,65,7,completed,12
1002,2144,4,completed,100
1002,81,7,completed,100
1002,1334,8,completed,26
1002,2119,2,completed,100
1002,2229,8,completed,100
1002,2437,5,completed,12
1002,2500,6,completed,100
1002,55,4,completed,24
1002,1359,7,completed,26
1002,2090,5,completed,50
1002,178,6,completed,26
1002,2248,9,completed,50
1002,503,7,completed,50
1002,1105,7,completed,50
1002,72,6,completed,100
1003,404,9,completed,24
1003,873,5,completed,100
1003,99,7,completed,26
1003,1178,5,completed,26
1003,2363,3,completed,50
1003,1423,8,completed,12
1003,243,8,completed,100
1003,1250,6,completed,100
1003,972,5,completed,24
1003,2063,4,completed,12
1003,2343,6,completed,100
1003,1632,5,completed,26
1003,1199,5,completed,24
1003,420,4,completed,100
1003,1639,8,completed,26
1003,1117,6,completed,12
1003,1449,5,completed,100
1003,168,6,completed,50
1003,2174,8,completed,26
1003,1589,6,completed,26
1003,599,5,completed,100
1003,2318,6,completed,50
1003,1331,7,completed,50
1003,787,6,completed,50
1003,542,6,completed,100
1003,529,6,completed,50
1003,935,8,completed,26
1003,101,7,completed,100
1003,1942,8,completed,24
1003,614,5,completed,26
1003,1119,6,completed,26
1003,2273,5,completed,100
1003,2013,4,completed,12
1003,1052,8,completed,24
1003,394,10,completed,100
1004,369,7,completed,26
1004,1871,6,completed,24
1004,2046,4,completed,26
1004,339,10,completed,24
1004,116,7,completed,24
1004,1732,7,completed,24
1004,541,8,completed,12
1004,2320,6,completed,100
1004,1222,6,completed,50
1004,1495,6,completed,50
1004,79,6,completed,50
1004,555,5,completed,50
1004,1593,5,completed,26
1004,2350,4,completed,50
1004,1181,4,completed,12
1005,408,4,completed,50
1005,334,6,completed,26
1005,260,5,completed,26
1005,1218,5,completed,24
1005,1535,8,completed,12
1005,2268,7,completed,26
1005,952,6,completed,24
1005,2096,9,completed,26
1005,1034,7,completed,100
1005,1020,5,completed,24
1005,1928,9,completed,50
1005,2294,6,completed,50
1005,719,6,completed,100
1005,1624,5,completed,26
1005,80,8,completed,24
1005,356,8,completed,26
1005,2247,6,completed,50
1005,1840,5,completed,100
1005,1930,9,completed,100
1005,1958,9,completed,100
1005,1425,10,completed,26
1005,917,5,completed,50
1005,780,8,completed,100
1005,1166,5,completed,24
1005,592,5,completed,100
1005,554,7,completed,24
1005,1338,6,completed,12
1005,876,10,completed,26
1005,2432,9,completed,26
1005,934,4,completed,50
1005,540,6,completed,100
1005,557,8,completed,50
1005,1089,5,completed,50
1005,533,5,completed,100
1005,1483,5,completed,100
1005,2027,3,completed,50
1005,1963,5,completed,12
1006,929,3,completed,12
1006,2361,6,completed,12
1006,1342,6,completed,100
1006,1199,4,completed,50
1006,1352,5,completed,50
1006,2409,5,completed,24
1006,562,6,completed,26
1006,273,6,completed,100
1006,479,6,completed,100
1006,2304,7,completed,12
1006,1382,4,completed,12
1006,1804,6,completed,12
1006,717,5,completed,26
1006,949,6,completed,26
1006,1369,5,completed,24
1006,220,5,completed,26
1006,366,6,completed,26
1006,1159,6,completed,100
1006,1896,8,completed,24
1006,884,6,completed,100
1006,2034,6,completed,12
1006,2006,9,completed,26
1006,2348,6,completed,50
1006,1740,9,completed,24
1006,572,6,completed,24
1006,1652,6,completed,26
1006,814,7,completed,26
1006,2079,9,completed,24
1006,2399,8,completed,50
1006,1562,4,completed,50
1006,1455,5,completed,24
1006,1205,5,completed,50
1006,2314,7,completed,100
1006,2031,6,completed,50
1006,1913,9,completed,12
1006,2345,6,completed,12
1006,360,5,completed,50
1006,1970,8,completed,100
1006,2279,8,completed,50
1006,638,5,completed,12
1006,90,6,completed,24
1006,187,3,completed,100
1007,1701,6,completed,12
1007,358,3,completed,50
1007,2371,8,completed,26
1007,2452,8,completed,24
1007,151,6,completed,24
1007,1981,7,completed,12
1007,1091,8,completed,24
1007,1625,7,completed,50
1007,1619,8,completed,100
1007,1698,7,completed,26
1007,2484,5,completed,26
1007,2047,4,completed,100
1007,1127,5,completed,50
1007,1953,8,completed,50
1007,629,8,completed,50
1008,392,9,completed,100
1008,235,6,completed,26
1008,2054,5,completed,12
1008,729,4,completed,50
1008,2150,5,completed,50
1008,926,5,completed,50
1008,2448,7,completed,24
1008,1227,2,completed,12
1008,1899,8,completed,12
1008,1591,5,completed,26
1008,1106,5,completed,12
1008,1710,4,completed,12
1008,303,7,completed,26
1008,760,8,completed,12
1008,1561,6,completed,24
1008,370,6,completed,24
1008,1075,6,completed,50
1008,2506,6,completed,24
1008,2498,3,completed,100
1008,847,5,completed,50
1008,1668,9,completed,24
1008,977,7,completed,100
1008,448,4,completed,100
1008,2357,4,completed,12
1008,1627,7,completed,26
1008,730,4,completed,100
1008,1817,9,completed,12
1008,1376,2,completed,100
1008,1625,6,completed,100
1008,1230,5,completed,12
1008,1056,9,completed,26
1008,922,6,completed,50
1009,212,8,completed,12
1009,530,7,completed,100
1009,2360,8,completed,100
1009,1021,7,completed,50
1009,897,8,completed,12
1009,438,5,completed,12
1009,877,5,completed,100
1009,536,9,completed,26
1009,1611,8,completed,12
1009,2096,6,completed,50
1009,2352,5,completed,12
1009,807,3,completed,26
1009,1939,6,completed,26
1009,1081,6,completed,24
1009,1733,4,completed,26
1010,540,5,completed,50
1010,2249,6,completed,26
1010,1332,6,completed,100
1010,2288,7,completed,26
1010,2018,6,completed,50
1010,112,3,completed,26
1010,1800,7,completed,50
1010,807,4,completed,24
1010,30,7,completed,12
1010,628,6,completed,12
1010,614,9,completed,12
1010,2250,7,completed,100
1010,735,4,completed,50
1010,2501,5,completed,26
1010,921,6,completed,26
1010,973,7,completed,12
1010,1470,8,completed,12
1010,597,7,completed,12
1010,2234,7,completed,12
1010,1807,5,completed,100
