genre_id,genre_name
1,Action
2,Comedy
3,Fantasy
2,Sci-Fi
3,Space
2,Adventure
3,Drama
4,Fantasy
1,Drama
3,Thriller
2,Drama
1,Mystery
2,Psychological
3,Supernatural
4,Thriller
2,Fantasy
2,Supernatural
2,Horror
3,Psychological
2,Mystery
3,Comedy
1,Adventure
2,Award Winning
4,Historical
1,Romance
3,Ecchi
1,Music
2,Shounen
1,Shojo
3,Martial Arts
1,Comedy
2,Military
3,Romance
1,Horror
2,Music
1,Josei
1,Fantasy
2,Isekai
1,Cyberpunk
1,Ecchi
1,Thriller
2,Cyberpunk
3,Josei
1,Parody
1,Martial Arts
2,Mecha
3,Mystery
4,Drama
3,Horror
4,Sci-Fi
1,Military
2,Thriller
1,Mecha
1,Seinen
1,Vampire
1,Supernatural
2,Martial Arts
3,Harem
3,Cyberpunk
4,Parody
3,Isekai
4,Psychological
4,Space
1,Historical
2,Vampire
3,Seinen
4,Music
1,Sports
2,Parody
1,Sci-Fi
3,Music
4,Horror
1,Harem
3,Shojo
4,Josei
2,Shojo
1,Slice of Life
2,Slice of Life
2,Romance
1,Shounen
3,Adventure
1,Psychological
1,Space
3,Slice of Life
4,Cyberpunk
2,Action
3,Mecha
4,Sports
1,Isekai
4,Romance
3,Sci-Fi
4,Harem
2,Space
3,Vampire
4,Supernatural
2,Josei
3,Shounen
4,Comedy
2,Historical
2,Harem
4,Isekai
3,Parody
4,Shojo
3,Military
2,Ecchi
4,Mecha
4,Seinen
4,Slice of Life
2,Seinen
4,Adventure
3,Action
2,Sports
4,Martial Arts
4,Shounen
3,Historical
4,Military
3,Sports
4,Action
4,Mystery
4,Vampire
4,Ecchi
